nu_cm1,Cs_cm2_molec_cm1,Cf_cm2_molec_cm1,self_texp
10230.0,7.572000e-29,7.652000e-30,3.149000
10240.0,9.557000e-29,9.572000e-30,3.243000
10250.0,1.135000e-28,1.097000e-29,3.322000
10260.0,1.279000e-28,1.126000e-29,3.394000
10270.0,1.364000e-28,1.113000e-29,3.441000
10280.0,1.436000e-28,1.090000e-29,3.479000
10290.0,1.540000e-28,1.070000e-29,3.449000
10300.0,1.672000e-28,1.070000e-29,3.423000
10310.0,1.793000e-28,1.120000e-29,3.388000
10320.0,1.906000e-28,1.210000e-29,3.331000
10330.0,2.036000e-28,1.330000e-29,3.253000
10340.0,2.144000e-28,1.480000e-29,3.153000
10350.0,2.292000e-28,1.640000e-29,3.109000
10360.0,2.371000e-28,1.790000e-29,3.050000
10370.0,2.493000e-28,1.940000e-29,2.952000
10380.0,2.606000e-28,2.050000e-29,2.864000
10390.0,2.706000e-28,2.170000e-29,2.808000
10400.0,2.866000e-28,2.280000e-29,2.708000
10410.0,3.036000e-28,2.400000e-29,2.657000
10420.0,3.136000e-28,2.530000e-29,2.594000
10430.0,3.405000e-28,2.740000e-29,2.554000
10440.0,3.665000e-28,3.030000e-29,2.543000
10450.0,3.837000e-28,3.420000e-29,2.549000
10460.0,4.229000e-28,3.870000e-29,2.623000
10470.0,4.748000e-28,4.470000e-29,2.708000
10480.0,5.320000e-28,5.190000e-29,2.798000
10490.0,5.763000e-28,5.910000e-29,2.909000
10500.0,6.677000e-28,6.770000e-29,3.039000
10510.0,7.216000e-28,7.500000e-29,3.161000
10520.0,7.716000e-28,8.280000e-29,3.244000
10530.0,8.958000e-28,8.830000e-29,3.293000
10540.0,9.419000e-28,9.360000e-29,3.358000
10550.0,1.036000e-27,9.910000e-29,3.389000
10560.0,1.108000e-27,1.030000e-28,3.424000
10570.0,1.189000e-27,1.090000e-28,3.489000
10580.0,1.246000e-27,1.140000e-28,3.559000
10590.0,1.348000e-27,1.170000e-28,3.601000
10600.0,1.310000e-27,1.180000e-28,3.641000
10610.0,1.361000e-27,1.180000e-28,3.707000
10620.0,1.364000e-27,1.180000e-28,3.791000
10630.0,1.363000e-27,1.210000e-28,3.879000
10640.0,1.343000e-27,1.260000e-28,3.902000
10650.0,1.293000e-27,1.350000e-28,3.873000
10660.0,1.254000e-27,1.430000e-28,3.811000
10670.0,1.235000e-27,1.490000e-28,3.726000
10680.0,1.158000e-27,1.490000e-28,3.637000
10690.0,1.107000e-27,1.400000e-28,3.519000
10700.0,9.961000e-28,1.250000e-28,3.357000
10710.0,9.011000e-28,1.070000e-28,3.205000
10720.0,7.910000e-28,8.610000e-29,3.055000
10730.0,6.916000e-28,6.570000e-29,2.898000
10740.0,6.338000e-28,4.800000e-29,2.737000
10750.0,5.564000e-28,3.470000e-29,2.612000
10760.0,4.827000e-28,2.470000e-29,2.543000
10770.0,4.198000e-28,1.780000e-29,2.531000
10780.0,3.695000e-28,1.330000e-29,2.589000
10790.0,3.276000e-28,1.050000e-29,2.697000
10800.0,2.929000e-28,8.720000e-30,2.819000
10810.0,2.633000e-28,7.510000e-30,2.914000
10820.0,2.391000e-28,6.760000e-30,2.991000
10830.0,2.192000e-28,6.270000e-30,3.045000
10840.0,2.021000e-28,6.000000e-30,3.067000
10850.0,1.890000e-28,5.990000e-30,3.060000
10860.0,1.772000e-28,6.260000e-30,3.082000
10870.0,1.667000e-28,6.860000e-30,3.087000
10880.0,1.603000e-28,7.580000e-30,3.110000
10890.0,1.547000e-28,8.490000e-30,3.145000
10900.0,1.537000e-28,9.530000e-30,3.183000
10910.0,1.492000e-28,1.050000e-29,3.249000
10920.0,1.515000e-28,1.140000e-29,3.296000
10930.0,1.479000e-28,1.200000e-29,3.346000
10940.0,1.450000e-28,1.250000e-29,3.399000
10950.0,1.513000e-28,1.280000e-29,3.409000
10960.0,1.495000e-28,1.300000e-29,3.449000
10970.0,1.529000e-28,1.310000e-29,3.472000
10980.0,1.565000e-28,1.320000e-29,3.497000
10990.0,1.564000e-28,1.330000e-29,3.550000
11000.0,1.553000e-28,1.330000e-29,3.593000
11010.0,1.569000e-28,1.310000e-29,3.638000
11020.0,1.584000e-28,1.270000e-29,3.674000
11030.0,1.570000e-28,1.230000e-29,3.731000
11040.0,1.538000e-28,1.190000e-29,3.795000
11050.0,1.531000e-28,1.200000e-29,3.863000
11060.0,1.346000e-28,1.250000e-29,3.874000
11070.0,1.199000e-28,1.330000e-29,3.845000
11080.0,1.044000e-28,1.420000e-29,3.808000
11090.0,8.892000e-29,1.480000e-29,3.739000
11100.0,7.076000e-29,1.490000e-29,3.661000
11110.0,5.884000e-29,1.410000e-29,3.556000
11120.0,5.039000e-29,1.260000e-29,3.411000
11130.0,4.129000e-29,1.080000e-29,3.273000
11140.0,3.663000e-29,8.800000e-30,3.139000
11150.0,2.993000e-29,6.780000e-30,3.009000
11160.0,2.622000e-29,4.911000e-30,2.865000
11170.0,2.232000e-29,3.496000e-30,2.736000
11180.0,1.884000e-29,2.473000e-30,2.675000
11190.0,1.569000e-29,1.802000e-30,2.674000
11200.0,1.348000e-29,1.369000e-30,2.730000
11210.0,1.144000e-29,1.077000e-30,2.845000
